           YEAR,            DAY,         PREACC,        EVAPACC,         ROFACC,        ROFOACC,        ROFSACC,        ROFBACC,        DSTGACC,            PRE,           EVAP,            ROF,           ROFO,           ROFS,           ROFB,          SNCAN,           RCAN,            SNO,           WSNO,           PNDW,          LQWS1,          FRWS1,          ALWS1,          LQWS2,          FRWS2,          ALWS2,          LQWS3,          FRWS3,          ALWS3,           LQWS,           FRWS,           ALWS,            LZS,            DZS,            STG,           DSTG,
           2002,             31,   79.68616    ,   3.966182    ,  0.1983515    ,  0.1238023    ,  0.5514115E-01,  0.1940816E-01,   34.10248    ,   79.68616    ,   3.966182    ,  0.1983515    ,  0.1238023    ,  0.5514115E-01,  0.1940816E-01,   2.327917    ,  0.2482120E-02,   32.36637    ,  0.7724347E-04,  0.3383662E-03,   4.190435    ,   28.99097    ,   33.18164    ,   33.23849    ,   12.06957    ,   45.30809    ,   620.1130    ,  0.1440541    ,   620.2568    ,   657.5419    ,   41.20459    ,   698.7466    ,  0.6706729    ,   0.000000    ,   734.1146    ,   34.10248    ,
           2002,             59,   129.6685    ,   10.62270    ,  0.2816356    ,  0.1238048    ,  0.1007811    ,  0.5704964E-01,   61.92188    ,   49.98261    ,   6.656538    ,  0.8328413E-01,  0.2709152E-05,  0.4563984E-01,  0.3764145E-01,   1.157498    ,  0.6445887E-02,   92.14646    ,  0.4080386E-02,  0.8860648E-05,   4.006273    ,   29.81031    ,   33.81634    ,   30.43896    ,   21.49125    ,   51.93012    ,   611.5193    ,   1.108273    ,   612.6241    ,   645.9645    ,   52.40984    ,   698.3706    ,   1.045730    ,   0.000000    ,   792.7342    ,   58.61963    ,
           2002,             90,   199.9505    ,   22.93906    ,   1.074696    ,  0.1261399    ,  0.8513952    ,  0.9715974E-01,   92.22589    ,   70.28248    ,   12.31637    ,  0.7930593    ,  0.2335358E-02,  0.7506140    ,  0.4011008E-01,  0.8458690    ,  0.1119122E-01,   148.8720    ,  0.3434657E-01,  0.3229870E-01,   4.023396    ,   29.82607    ,   33.84946    ,   29.92889    ,   24.62979    ,   54.55871    ,   607.6589    ,   3.054669    ,   610.7150    ,   641.6111    ,   57.51053    ,   699.1232    ,   1.026995    ,   0.000000    ,   849.9125    ,   57.17828    ,
           2002,            120,   244.0735    ,   34.41757    ,   9.025637    ,  0.5229035    ,   8.362818    ,  0.1399169    ,   115.6884    ,   44.12288    ,   11.47849    ,   7.950936    ,  0.3967640    ,   7.511418    ,  0.4275711E-01,  0.1365518    ,  0.1484132E-01,   175.8635    ,  0.3126099    ,  0.1895328    ,   4.896317    ,   30.30539    ,   35.20183    ,   34.82795    ,   23.99848    ,   58.82645    ,   610.1653    ,   4.483799    ,   614.6500    ,   649.8896    ,   58.78766    ,   708.6783    ,   1.085853    ,   0.000000    ,   886.0900    ,   36.17755    ,
           2002,            151,   305.7557    ,   47.49425    ,   60.26850    ,   6.446109    ,   53.49867    ,  0.3236772    ,   131.9803    ,   61.68281    ,   13.07673    ,   51.24285    ,   5.923207    ,   45.13588    ,  0.1837601    ,  0.1713305    ,  0.2221982E-01,   150.6860    ,  0.2440624    ,   9.517798    ,   7.992562    ,   28.64312    ,   36.63567    ,   39.94880    ,   25.51764    ,   65.46654    ,   634.8229    ,   4.853338    ,   639.6750    ,   682.7642    ,   59.01410    ,   741.7772    ,   2.160040    ,   0.000000    ,   895.0627    ,   8.972656    ,
           2002,            181,   362.9708    ,   82.53625    ,   214.9666    ,   29.23895    ,   183.4311    ,   2.296528    ,   131.2490    ,   57.21510    ,   35.04203    ,   154.6982    ,   22.79282    ,   129.9324    ,   1.972853    ,  0.4090625E-01,  0.3504567E-01,   47.09133    ,  0.1178507    ,   6.390028    ,   21.66407    ,   9.200174    ,   30.86428    ,   48.01963    ,   13.11309    ,   61.13277    ,   676.2090    ,   4.807561    ,   681.0162    ,   745.8928    ,   27.12082    ,   773.0132    ,   7.287422    ,   0.000000    ,   827.5854    ,  -67.47729    ,
           2002,            212,   399.3875    ,   135.1109    ,   257.5800    ,   60.30430    ,   188.0861    ,   9.189131    ,   120.3381    ,   36.41532    ,   52.57455    ,   42.61321    ,   31.06538    ,   4.655185    ,   6.892583    ,  0.1174987E-01,  0.2587768E-01,  0.1846675    ,  0.3076489E-02,  0.1292412E-01,   19.35499    ,  0.5167896E-02,   19.36015    ,   47.00312    ,  0.1492636    ,   47.15240    ,   673.0690    ,   2.225918    ,   675.2945    ,   739.4271    ,   2.380350    ,   741.8071    ,   14.61071    ,   0.000000    ,   756.6436    ,  -70.94183    ,
           2002,            243,   460.0754    ,   180.0481    ,   291.1761    ,   79.96212    ,   195.3493    ,   15.86383    ,   111.3826    ,   60.68702    ,   44.93739    ,   33.59576    ,   19.65779    ,   7.263244    ,   6.674703    ,  0.3924925E-01,  0.4179421E-01,  0.9169728    ,  0.1718935E-01,  0.1587524E-01,   21.70579    ,  0.1780851E-02,   21.70760    ,   49.38808    ,   0.000000    ,   49.38808    ,   663.4546    ,  0.9899384E-01,   663.5523    ,   734.5485    ,  0.1007747    ,   734.6480    ,   14.47691    ,   0.000000    ,   750.1420    ,  -6.501587    ,
           2002,            273,   543.3920    ,   206.3796    ,   317.8826    ,   88.14182    ,   207.4850    ,   22.25520    ,   105.6628    ,   83.31992    ,   26.33162    ,   26.70671    ,   8.179755    ,   12.13552    ,   6.391406    ,  0.1194652    ,  0.4417701E-01,   1.757270    ,  0.1204450E-01,  0.1366472E-01,   23.23415    ,  0.6018651    ,   23.83602    ,   51.23400    ,  0.2552762E-03,   51.23426    ,   667.9158    ,   0.000000    ,   667.9158    ,   742.3840    ,  0.6021203    ,   742.9861    ,   14.42743    ,   0.000000    ,   759.3458    ,   9.203796    ,
           2002,            304,   568.6412    ,   211.5065    ,   333.3410    ,   88.19672    ,   216.5789    ,   28.56457    ,   103.3444    ,   25.24592    ,   5.126748    ,   15.45862    ,  0.5495923E-01,   9.094284    ,   6.309350    ,  0.2276658    ,  0.1484895E-01,   25.40935    ,  0.2562217E-01,  0.4212532E-02,   17.03936    ,   14.22538    ,   31.26473    ,   45.77887    ,   1.306204    ,   47.08502    ,   664.7268    ,   0.000000    ,   664.7268    ,   727.5450    ,   15.53159    ,   743.0765    ,   14.15557    ,   0.000000    ,   782.9094    ,   23.56360    ,
