          BIAS             NSD             NSW             TPD  
  0.3626977       0.5958266       0.6525209                  70 
  0.8436944E-01   0.7538350       0.8034585                  72 
 -0.4000028E-01   0.7257926       0.7748449                  72 
  0.3860090       0.5466275       0.6057667                  93 
  0.1237016       0.7275440       0.7780402                  92 
  0.1335179       0.7240143       0.7746292                  92 
  0.3537872       0.6075957       0.6634204                  70 
  0.3897925E-01   0.6964910       0.7472603                  93 
  0.3860178       0.5463936       0.6054893                  93 
  0.7984443E-01   0.6913878       0.7295424                  99 
  0.5563822E-01   0.7002488       0.7453346                 107 
  0.1555708       0.7259797       0.7633312                  99 
  0.3340318       0.6659155       0.7068635                  98 
  0.2718612       0.7072548       0.7470503                 101 
  0.3112088       0.6825504       0.7235200                 101 
  0.2718612       0.7072548       0.7470503                 101 
  0.2342148       0.7219473       0.7609085                 101 
  0.1942200       0.7279700       0.7663944                 101 
  0.1544084       0.7242672       0.7625469                 101 
  0.7843177E-01   0.6895830       0.7287034                 101 
  0.2966776       0.6145205       0.6727279                  87 
  0.2966776       0.6145205       0.6727279                  87 
  0.2343793E-01   0.7439551       0.7927410                  77 
  0.9941480E-01   0.7687161       0.8156244                  77 
  0.1392265       0.7674371       0.8139521                  77 
  0.1792211       0.7564111       0.8029203                  80 
  0.2168676       0.7370309       0.7838727                  80 
  0.2562149       0.7070908       0.7546378                  79 
  0.2716361       0.6058570       0.6629939                 115 
  0.2716361       0.6058570       0.6629939                 115 
  0.2233848       0.6520875       0.7077367                 115 
  0.1768274       0.6842604       0.7388368                 115 
  0.1270524       0.7061151       0.7599490                 115 
  0.7749944E-01   0.7153834       0.7689031                 115 
 -0.1732950E-01   0.6982864       0.7524188                  77 
  0.3208899       0.4806951       0.5479102                 126 
  0.1049266       0.7370536       0.7885792                  81 
  0.9941480E-01   0.7687161       0.8156244                  77 
  0.9941480E-01   0.7687161       0.8156244                  77 
  0.9703201E-01   0.7684814       0.8154176                  77 
