           YEAR,            DAY,         PREACC,        EVAPACC,         ROFACC,        ROFOACC,        ROFSACC,        ROFBACC,        DSTGACC,            PRE,           EVAP,            ROF,           ROFO,           ROFS,           ROFB,          SNCAN,           RCAN,            SNO,           WSNO,           PNDW,          LQWS1,          FRWS1,          ALWS1,          LQWS2,          FRWS2,          ALWS2,          LQWS3,          FRWS3,          ALWS3,           LQWS,           FRWS,           ALWS,            LZS,            DZS,            STG,           DSTG,
           2002,             31,   79.68616    ,   3.968543    ,  0.1984408    ,  0.1237684    ,  0.5533080E-01,  0.1934147E-01,   34.16992    ,   79.68616    ,   3.968543    ,  0.1984408    ,  0.1237684    ,  0.5533080E-01,  0.1934147E-01,   2.326349    ,  0.2480129E-02,   32.44991    ,  0.7864025E-04,  0.3152956E-03,   4.318517    ,   29.72959    ,   34.04824    ,   33.51817    ,   12.46574    ,   45.98389    ,   619.7515    ,  0.1459362    ,   619.8975    ,   657.5883    ,   42.34126    ,   699.9296    ,  0.6697717    ,   0.000000    ,   735.3784    ,   34.16992    ,
           2002,             59,   129.6685    ,   10.62267    ,  0.2809280    ,  0.1237710    ,  0.1004397    ,  0.5671706E-01,   62.60046    ,   49.98261    ,   6.654132    ,  0.8248729E-01,  0.2712178E-05,  0.4510893E-01,  0.3737560E-01,   1.156768    ,  0.6441773E-02,   93.51896    ,  0.4073704E-02,  0.7530581E-05,   4.129228    ,   30.56738    ,   34.69669    ,   30.58296    ,   22.02398    ,   52.60694    ,   611.1331    ,   1.120970    ,   612.2507    ,   645.8452    ,   53.71233    ,   699.5543    ,   1.042725    ,   0.000000    ,   795.2869    ,   59.90851    ,
           2002,             90,   199.9505    ,   22.93371    ,   1.086787    ,  0.1263198    ,  0.8639629    ,  0.9650324E-01,   93.98645    ,   70.28248    ,   12.31106    ,  0.8058587    ,  0.2549138E-02,  0.7635231    ,  0.3978623E-01,  0.8453938    ,  0.1118509E-01,   152.7005    ,  0.3270727E-01,  0.3356426E-01,   4.141045    ,   30.58837    ,   34.72973    ,   30.03661    ,   25.24079    ,   55.27743    ,   607.2233    ,   3.082680    ,   610.3054    ,   641.4009    ,   58.91184    ,   700.3126    ,   1.023654    ,   0.000000    ,   854.9253    ,   59.63837    ,
           2002,            120,   244.0735    ,   34.40430    ,   9.070533    ,  0.4948804    ,   8.436656    ,  0.1389913    ,   118.4319    ,   44.12288    ,   11.47060    ,   7.983746    ,  0.3685607    ,   7.572697    ,  0.4248820E-01,  0.1365112    ,  0.1483384E-01,   181.4552    ,  0.3081257    ,  0.1882680    ,   5.001318    ,   31.15571    ,   36.15701    ,   34.93806    ,   24.63826    ,   59.57631    ,   609.7322    ,   4.521251    ,   614.2556    ,   649.6716    ,   60.31522    ,   709.9889    ,   1.083248    ,   0.000000    ,   892.9863    ,   38.06097    ,
           2002,            151,   305.7557    ,   47.47228    ,   58.42550    ,   3.875495    ,   54.22749    ,  0.3224774    ,   135.5199    ,   61.68282    ,   13.06800    ,   49.35494    ,   3.380614    ,   45.79086    ,  0.1834858    ,  0.1712286    ,  0.2220298E-01,   156.6172    ,  0.2425575    ,   10.13792    ,   8.190536    ,   29.64058    ,   37.83114    ,   40.18726    ,   26.35998    ,   66.54731    ,   634.3820    ,   4.900792    ,   639.2828    ,   682.7598    ,   60.90136    ,   743.6612    ,   2.158587    ,   0.000000    ,   902.8718    ,   9.885559    ,
           2002,            181,   362.9708    ,   81.92577    ,   207.4498    ,   8.812009    ,   196.3358    ,   2.302108    ,   134.9510    ,   57.21510    ,   34.45354    ,   149.0245    ,   4.936528    ,   142.1083    ,   1.979627    ,  0.4086850E-01,  0.3500530E-01,   51.13153    ,  0.1198956    ,   7.277510    ,   22.42515    ,   9.617459    ,   32.04262    ,   48.60457    ,   13.74847    ,   62.35303    ,   675.4479    ,   4.866467    ,   680.3142    ,   746.4776    ,   28.23240    ,   774.7098    ,   7.260967    ,   0.000000    ,   833.2989    ,  -69.57294    ,
           2002,            212,   399.3875    ,   136.7386    ,   219.5819    ,   8.960603    ,   201.2062    ,   9.415193    ,   123.4493    ,   36.41532    ,   54.81276    ,   12.13211    ,  0.1486078    ,   4.870416    ,   7.113092    ,  0.1174198E-01,  0.2585983E-01,  0.1663828    ,  0.2882769E-02,  0.1258854E-02,   20.00369    ,  0.6817075E-02,   20.01049    ,   47.68869    ,  0.1535326    ,   47.84219    ,   672.3497    ,   2.283352    ,   674.6337    ,   740.0420    ,   2.443702    ,   742.4864    ,   14.79805    ,   0.000000    ,   757.4917    ,  -75.80719    ,
           2002,            243,   460.0754    ,   183.2725    ,   233.7589    ,   9.006238    ,   208.5786    ,   16.17345    ,   114.0685    ,   60.68702    ,   46.53392    ,   14.17652    ,  0.4565395E-01,   7.372590    ,   6.758283    ,  0.3924740E-01,  0.4177392E-01,  0.8172818    ,  0.1623390E-01,  0.6898391E-09,   22.48615    ,  0.2811731E-02,   22.48899    ,   50.15278    ,   0.000000    ,   50.15278    ,   662.8782    ,  0.1089718    ,   662.9881    ,   735.5171    ,  0.1117836    ,   735.6299    ,   14.57444    ,   0.000000    ,   751.1194    ,  -6.372314    ,
           2002,            273,   543.3920    ,   210.2121    ,   252.8725    ,   9.093244    ,   221.0419    ,   22.73707    ,   108.0759    ,   83.31996    ,   26.94008    ,   19.11403    ,  0.8700947E-01,   12.46343    ,   6.563593    ,  0.1194253    ,  0.4414819E-01,   1.603121    ,  0.1142111E-01,  0.3610979E-03,   24.21426    ,  0.6259151    ,   24.84016    ,   52.12695    ,  0.2720976E-03,   52.12725    ,   667.4099    ,   0.000000    ,   667.4099    ,   743.7511    ,  0.6261872    ,   744.3773    ,   14.63167    ,   0.000000    ,   760.7855    ,   9.666138    ,
           2002,            304,   568.6412    ,   215.2598    ,   268.4474    ,   9.101018    ,   230.2370    ,   29.10985    ,   105.5245    ,   25.24592    ,   5.047566    ,   15.57514    ,  0.7777744E-02,   9.194559    ,   6.372793    ,  0.2276482    ,  0.1484600E-01,   24.96231    ,  0.2572195E-01,  0.2160665E-02,   17.77473    ,   14.85484    ,   32.62954    ,   46.61768    ,   1.330183    ,   47.94788    ,   664.2315    ,   0.000000    ,   664.2315    ,   728.6239    ,   16.18502    ,   744.8089    ,   14.24281    ,   0.000000    ,   784.2820    ,   23.49646    ,
